Pergunta,Resposta,Tema
Qual foi o principal líder da Guerra de Canudos?,Antônio Conselheiro,Guerra de Canudos
Em que ano começou a Guerra de Canudos?,1896,Guerra de Canudos
Onde ocorreu a Guerra de Canudos?,"No sertão da Bahia, Brasil",Guerra de Canudos
Quantas expedições o governo enviou contra Canudos antes de vencer?,Quatro expedições,Guerra de Canudos
Qual era a principal motivação dos habitantes de Canudos?,Rejeição às mudanças impostas pela República e busca de uma vida comunitária e religiosa,Guerra de Canudos
"Quem escreveu o livro 'Os Sertões', que descreve a Guerra de Canudos?",Euclides da Cunha,Guerra de Canudos
Quantos habitantes tinha Canudos no auge da guerra?,Cerca de 25 mil pessoas,Guerra de Canudos
Qual foi o desfecho da Guerra de Canudos?,A destruição completa do arraial e a morte da maioria dos habitantes,Guerra de Canudos
Qual governo foi responsável pela repressão à Guerra de Canudos?,"Governo da República Velha, sob o presidente Prudente de Morais",Guerra de Canudos
Qual foi o impacto da Guerra de Canudos na opinião pública da época?,Gerou grande comoção e dividiu a opinião pública entre apoio ao governo e críticas à violência empregada,Guerra de Canudos
Quando começou a Guerra do Paraguai?,1864,Guerra do Paraguai
Quem foram os principais países envolvidos na Guerra do Paraguai?,"Brasil, Argentina, Uruguai e Paraguai",Guerra do Paraguai
Qual foi o líder paraguaio durante a Guerra do Paraguai?,Francisco Solano López,Guerra do Paraguai
Qual foi a principal batalha da Guerra do Paraguai?,A Batalha de Tuiuti,Guerra do Paraguai
Qual foi o principal motivo que levou o Paraguai a entrar em guerra?,Disputas territoriais e políticas na região do Rio da Prata,Guerra do Paraguai
Qual foi o impacto da Guerra do Paraguai no Paraguai?,"Devastação econômica e demográfica, com grande perda de vidas",Guerra do Paraguai
Quantos anos durou a Guerra do Paraguai?,"Seis anos, de 1864 a 1870",Guerra do Paraguai
Qual foi o papel da Marinha Brasileira na Guerra do Paraguai?,"A Marinha do Brasil teve papel crucial nas batalhas navais, especialmente na retomada de território",Guerra do Paraguai
Qual foi a consequência da Guerra do Paraguai para o Brasil?,"Fortalecimento militar e territorial, mas também grande custo humano e financeiro",Guerra do Paraguai
Como a Guerra do Paraguai terminou?,Com a morte de Solano López e a ocupação do território paraguaio pelos aliados,Guerra do Paraguai
Quem foi Tiradentes?,Um líder da Inconfidência Mineira e mártir da independência brasileira,Tiradentes
Em que ano Tiradentes foi executado?,1792,Tiradentes
Qual era o verdadeiro nome de Tiradentes?,Joaquim José da Silva Xavier,Tiradentes
Qual foi o principal objetivo da Inconfidência Mineira?,A independência do Brasil em relação a Portugal,Tiradentes
Por que Tiradentes é considerado um herói nacional?,Por sua luta e sacrifício pela liberdade e independência do Brasil,Tiradentes
Como Tiradentes foi capturado?,Traído por um dos membros da Inconfidência que delatou o movimento ao governo português,Tiradentes
Qual era a profissão de Tiradentes?,"Dentista, além de ser militar e comerciante",Tiradentes
Onde Tiradentes foi enforcado?,"No Rio de Janeiro, no Campo de Santana",Tiradentes
Como Tiradentes é lembrado no Brasil hoje?,"Como símbolo da luta pela liberdade, comemorado no feriado de 21 de abril",Tiradentes
Qual foi o impacto da execução de Tiradentes?,O movimento pela independência ganhou força e se tornou um símbolo de resistência,Tiradentes
Quando começou a Ditadura Militar no Brasil?,1964,Ditadura Militar
Quem foi o primeiro presidente do regime militar no Brasil?,Marechal Humberto de Alencar Castelo Branco,Ditadura Militar
Quantos anos durou a Ditadura Militar no Brasil?,"21 anos, de 1964 a 1985",Ditadura Militar
Qual foi o nome do ato que instaurou o regime militar?,Ato Institucional Número Cinco (AI-5),Ditadura Militar
Qual foi o impacto do AI-5 na política brasileira?,"Suspensão de direitos políticos e civis, fechamento do Congresso e censura ampla",Ditadura Militar
Qual presidente assinou a Lei da Anistia?,General João Baptista Figueiredo,Ditadura Militar
Qual foi o papel da Operação Condor durante a Ditadura Militar?,Coordenação entre governos militares da América Latina para perseguir opositores políticos,Ditadura Militar
Quando ocorreu a reabertura política e o fim da Ditadura Militar no Brasil?,1985,Ditadura Militar
Quem foi o último presidente do regime militar no Brasil?,General João Baptista Figueiredo,Ditadura Militar
Qual foi o movimento que impulsionou o fim da Ditadura Militar?,"O movimento das Diretas Já, que clamava por eleições diretas para presidente",Ditadura Militar
Em que ano o Brasil foi oficialmente descoberto pelos portugueses?,1500,Descobrimento do Brasil
Quem foi o navegador responsável pela descoberta do Brasil?,Pedro Álvares Cabral,Descobrimento do Brasil
Qual foi a data exata da chegada dos portugueses ao Brasil?,22 de abril de 1500,Descobrimento do Brasil
Qual era o nome da terra avistada pelos portugueses ao chegarem ao Brasil?,Monte Pascoal,Descobrimento do Brasil
Quem foi o escrivão da frota que relatou a descoberta do Brasil?,Pero Vaz de Caminha,Descobrimento do Brasil
Qual foi a primeira atividade econômica desenvolvida pelos portugueses no Brasil?,A extração de pau-brasil,Descobrimento do Brasil
Que tribos indígenas os portugueses encontraram ao chegar no Brasil?,Principalmente os Tupiniquins e Tupinambás,Descobrimento do Brasil
Qual foi o impacto da chegada dos portugueses nas populações indígenas?,"Conflitos, doenças e a colonização forçada",Descobrimento do Brasil
Qual foi a principal razão para os portugueses colonizarem o Brasil?,Exploração de recursos naturais e expansão territorial,Descobrimento do Brasil
Como o descobrimento do Brasil influenciou a expansão do Império Português?,Aumentou o território sob controle português e ampliou sua influência nas Américas,Descobrimento do Brasil
